ID,POS,Name,TM,Age,NAT,B,T
1819,RP,Andres Munoz,Seattle,22,MEX,Right,Right
32392,RP,Patrick Murphy,Toronto,25,USA,Right,Right
28707,RP,Jimmy Nelson,Los Angeles,31,USA,Right,Right
19734,RP,Nick Nelson,New York,25,USA,Right,Right
17,RP,Sean Newcomb,Atlanta,27,USA,Left,Left
30236,RP,Daniel Norris,Detroit,27,USA,Left,Left
18816,RP,Darren O'Day,New York,38,USA,Right,Right
31626,RP,Scott Oberg,Colorado,31,USA,Right,Right
33054,RP,Emilio Pagan,San Diego,29,USA,Left,Right
19160,RP,Enoli Paredes,Houston,25,DOM,Right,Right
23712,RP,Blake Parker,Cleveland,35,USA,Right,Right
32061,RP,Joel Payamps,Toronto,26,DOM,Right,Right
30558,RP,Wandy Peralta,San Francisco,29,DOM,Left,Left
17653,RP,Oliver Perez,Cleveland,39,MEX,Left,Left
18376,RP,Yusmeiro Petit,Oakland,36,VEN,Right,Right
26788,RP,David Phelps,Toronto,34,USA,Right,Right
21106,RP,Colin Poche,Tampa Bay,27,USA,Left,Left
28251,RP,Drew Pomeranz,San Diego,32,USA,Right,Left
1542,RP,Zach Pop,Miami,24,CAN,Right,Right
28193,RP,Brooks Raley,Houston,32,USA,Left,Left
33010,RP,Roel Ramirez,St. Louis,25,USA,Right,Right
20775,RP,Drew Rasmussen,Milwaukee,25,USA,Right,Right
1025,RP,Sean Reid-Foley,New York,25,GUM,Right,Right
32479,RP,Alex Reyes,St. Louis,26,USA,Right,Right
30146,RP,Hansel Robles,Minnesota,30,DOM,Right,Right
28990,RP,Joely Rodriguez,Texas,29,DOM,Left,Left
26625,RP,Chaz Roe,Tampa Bay,34,USA,Right,Right
33048,RP,Tyler Rogers,San Francisco,30,USA,Right,Right
1591,RP,JoJo Romero,Philadelphia,24,USA,Left,Left
18840,RP,Sergio Romo,Oakland,38,USA,Right,Right
28171,RP,Trevor Rosenthal,Oakland,30,USA,Right,Right
33714,RP,Jose Ruiz,Chicago,26,VEN,Right,Right
28524,RP,Casey Sadler,Seattle,30,USA,Right,Right
22797,RP,Patrick Sandoval,Los Angeles,24,USA,Left,Left
35492,RP,Edgar Santana,Pittsburgh,29,DOM,Right,Right
34276,RP,Hirokazu Sawamura,Boston,32,JPN,Right,Right
20893,RP,Josh Sborz,Texas,27,USA,Right,Right
21071,RP,Mac Sceroler,Baltimore,25,USA,Right,Right
1884,RP,John Schreiber,Boston,27,USA,Right,Right
25743,RP,Andre Scrubb,Houston,26,USA,Right,Right
31128,RP,Paul Sewald,Seattle,30,USA,Right,Right
26178,RP,Bryan Shaw,Cleveland,33,USA,Switch,Right
31901,RP,Jordan Sheffield,Colorado,25,USA,Right,Right
33669,RP,Aaron Slegers,Los Angeles,28,USA,Right,Right
1080,RP,Devin Smeltzer,Minnesota,25,USA,Right,Left
20906,RP,Drew Smith,New York,27,USA,Right,Right
18509,RP,Joe Smith,Houston,37,USA,Right,Right
21316,RP,Riley Smith,Arizona,26,USA,Right,Right
33992,RP,Gregory Soto,Detroit,26,DOM,Left,Left
33214,RP,Glenn Sparkman,Minnesota,28,USA,Right,Right
32700,RP,Gabe Speier,Kansas City,25,USA,Left,Left
305,RP,Jeffrey Springs,Tampa Bay,28,USA,Left,Left
22769,RP,Craig Stammen,San Diego,37,USA,Right,Right
31883,RP,Ryne Stanek,Houston,29,USA,Right,Right
23535,RP,Cody Stashak,Minnesota,26,USA,Right,Right
99,RP,Josh Staumont,Kansas City,27,USA,Right,Right
31120,RP,Drew Steckenrider,Seattle,30,USA,Right,Right
20497,RP,Trevor Stephan,Cleveland,25,USA,Right,Right
29798,RP,Robert Stephenson,Colorado,28,USA,Right,Right
24556,RP,Robert Stock,Chicago,31,USA,Left,Right
30707,RP,Chris Stratton,Pittsburgh,30,USA,Right,Right
32879,RP,Wander Suero,Washington,29,DOM,Right,Right
33269,RP,Cole Sulser,Baltimore,31,USA,Right,Right
30902,RP,Brent Suter,Milwaukee,31,USA,Left,Left
36060,RP,Erik Swanson,Seattle,27,USA,Right,Right
21114,RP,Dillon Tate,Baltimore,26,USA,Right,Right
32113,RP,Blake Taylor,Houston,25,USA,Left,Left
28050,RP,Ryan Tepera,Chicago,33,USA,Right,Right
30300,RP,Caleb Thielbar,Minnesota,34,USA,Right,Left
23594,RP,Ryan Thompson,Tampa Bay,28,USA,Right,Right
32296,RP,Lewis Thorpe,Minnesota,25,AUS,Right,Left
32199,RP,Justin Topa,Milwaukee,30,USA,Right,Right
32864,RP,Lou Trivino,Oakland,29,USA,Right,Right
30650,RP,Duane Underwood Jr.,Pittsburgh,26,USA,Right,Right
34475,RP,Cesar Valdez,Baltimore,36,DOM,Right,Right
32880,RP,Phillips Valdez,Boston,29,DOM,Right,Right
28824,RP,Vince Velasquez,Philadelphia,28,USA,Right,Right
23464,RP,Will Vest,Seattle,25,USA,Right,Right
31879,RP,Austin Voth,Washington,28,USA,Right,Right
30637,RP,Michael Wacha,Tampa Bay,29,USA,Right,Right
31917,RP,Bobby Wahl,Milwaukee,29,USA,Right,Right
1459,RP,Art Warren,Cincinnati,28,USA,Right,Right
